time_ms,core_tick,x,y,player_life,moving,phase,pose,pursuit_events,segments_clear,capture
15,1,3400,3400,100,0,0,raider_nw,0,1,
30,1,3400,3400,100,0,0,raider_nw,0,1,
45,1,3400,3400,100,0,0,raider_nw,0,1,
60,2,3394,3394,100,1,0.0879076,raider_walk0_nw,1,1,native-pursuit-nw-walk-00.png
75,2,3394,3394,100,0.875,0.0879076,raider_walk0_nw,1,1,
90,2,3394,3394,100,0.765625,0.0879076,raider_walk0_nw,1,1,
105,3,3388,3388,100,1,0.175815,raider_walk1_nw,2,1,native-pursuit-nw-walk-01.png
120,3,3388,3388,100,0.875,0.175815,raider_walk1_nw,2,1,
135,3,3388,3388,100,0.765625,0.175815,raider_walk1_nw,2,1,
150,4,3382,3382,100,1,0.263723,raider_walk2_nw,3,1,native-pursuit-nw-walk-02.png
165,4,3382,3382,100,0.875,0.263723,raider_walk2_nw,3,1,
180,4,3382,3382,100,0.765625,0.263723,raider_walk2_nw,3,1,
195,4,3382,3382,100,0.669922,0.263723,raider_walk2_nw,3,1,
210,5,3376,3376,100,1,0.35163,raider_walk2_nw,4,1,
225,5,3376,3376,100,0.875,0.35163,raider_walk2_nw,4,1,
240,5,3376,3376,100,0.765625,0.35163,raider_walk2_nw,4,1,
255,6,3370,3370,100,1,0.439538,raider_walk3_nw,5,1,native-pursuit-nw-walk-03.png
270,6,3370,3370,100,0.875,0.439538,raider_walk3_nw,5,1,
285,6,3370,3370,100,0.765625,0.439538,raider_walk3_nw,5,1,
300,7,3364,3364,100,1,0.527446,raider_walk4_nw,6,1,native-pursuit-nw-walk-04.png
315,7,3364,3364,100,0.875,0.527446,raider_walk4_nw,6,1,
330,7,3364,3364,100,0.765625,0.527446,raider_walk4_nw,6,1,
345,7,3364,3364,100,0.669922,0.527446,raider_walk4_nw,6,1,
360,8,3358,3358,100,1,0.615353,raider_walk4_nw,7,1,
375,8,3358,3358,100,0.875,0.615353,raider_walk4_nw,7,1,
390,8,3358,3358,100,0.765625,0.615353,raider_walk4_nw,7,1,
405,9,3352,3352,100,1,0.703261,raider_walk5_nw,8,1,native-pursuit-nw-walk-05.png
420,9,3352,3352,100,0.875,0.703261,raider_walk5_nw,8,1,
435,9,3352,3352,100,0.765625,0.703261,raider_walk5_nw,8,1,
450,10,3346,3346,100,1,0.791168,raider_walk6_nw,9,1,native-pursuit-nw-walk-06.png
465,10,3346,3346,100,0.875,0.791168,raider_walk6_nw,9,1,
480,10,3346,3346,100,0.765625,0.791168,raider_walk6_nw,9,1,
495,10,3346,3346,100,0.669922,0.791168,raider_walk6_nw,9,1,
510,11,3340,3340,100,1,0.879076,raider_walk7_nw,10,1,native-pursuit-nw-walk-07.png
525,11,3340,3340,100,0.875,0.879076,raider_walk7_nw,10,1,
540,11,3340,3340,100,0.765625,0.879076,raider_walk7_nw,10,1,
555,12,3334,3334,100,1,0.966984,raider_walk7_nw,11,1,
570,12,3334,3334,100,0.875,0.966984,raider_walk7_nw,11,1,
585,12,3334,3334,100,0.765625,0.966984,raider_walk7_nw,11,1,
600,13,3328,3328,100,1,0.0548912,raider_walk0_nw,12,1,
615,13,3328,3328,100,0.875,0.0548912,raider_walk0_nw,12,1,
630,13,3328,3328,100,0.765625,0.0548912,raider_walk0_nw,12,1,
645,13,3328,3328,100,0.669922,0.0548912,raider_walk0_nw,12,1,
660,14,3322,3322,100,1,0.142799,raider_walk1_nw,13,1,
675,14,3322,3322,100,0.875,0.142799,raider_walk1_nw,13,1,
690,14,3322,3322,100,0.765625,0.142799,raider_walk1_nw,13,1,
705,15,3316,3316,100,1,0.230706,raider_walk1_nw,14,1,
720,15,3316,3316,100,0.875,0.230706,raider_walk1_nw,14,1,
735,15,3316,3316,100,0.765625,0.230706,raider_walk1_nw,14,1,
750,16,3310,3310,100,1,0.318614,raider_walk2_nw,15,1,
765,16,3310,3310,100,0.875,0.318614,raider_walk2_nw,15,1,
780,16,3310,3310,100,0.765625,0.318614,raider_walk2_nw,15,1,
795,16,3310,3310,100,0.669922,0.318614,raider_walk2_nw,15,1,
810,17,3304,3304,100,1,0.406522,raider_walk3_nw,16,1,
825,17,3304,3304,100,0.875,0.406522,raider_walk3_nw,16,1,
840,17,3304,3304,100,0.765625,0.406522,raider_walk3_nw,16,1,
855,18,3298,3298,100,1,0.494429,raider_walk3_nw,17,1,
870,18,3298,3298,100,0.875,0.494429,raider_walk3_nw,17,1,
885,18,3298,3298,100,0.765625,0.494429,raider_walk3_nw,17,1,
900,19,3292,3292,100,1,0.582337,raider_walk4_nw,18,1,
915,19,3292,3292,100,0.875,0.582337,raider_walk4_nw,18,1,
930,19,3292,3292,100,0.765625,0.582337,raider_walk4_nw,18,1,
945,19,3292,3292,100,0.669922,0.582337,raider_walk4_nw,18,1,
960,20,3286,3286,100,1,0.670244,raider_walk5_nw,19,1,
975,20,3286,3286,100,0.875,0.670244,raider_walk5_nw,19,1,
990,20,3286,3286,100,0.765625,0.670244,raider_walk5_nw,19,1,
1005,21,3280,3280,100,1,0.758152,raider_walk6_nw,20,1,
1020,21,3280,3280,100,0.875,0.758152,raider_walk6_nw,20,1,
1035,21,3280,3280,100,0.765625,0.758152,raider_walk6_nw,20,1,
1050,22,3274,3274,100,1,0.84606,raider_walk6_nw,21,1,
1065,22,3274,3274,100,0.875,0.84606,raider_walk6_nw,21,1,
1080,22,3274,3274,100,0.765625,0.84606,raider_walk6_nw,21,1,
1095,22,3274,3274,100,0.669922,0.84606,raider_walk6_nw,21,1,
1110,23,3268,3268,100,1,0.933967,raider_walk7_nw,22,1,
1125,23,3268,3268,100,0.875,0.933967,raider_walk7_nw,22,1,
1140,23,3268,3268,100,0.765625,0.933967,raider_walk7_nw,22,1,
1155,24,3262,3262,100,1,0.0218749,raider_walk0_nw,23,1,
1170,24,3262,3262,100,0.875,0.0218749,raider_walk0_nw,23,1,
1185,24,3262,3262,100,0.765625,0.0218749,raider_walk0_nw,23,1,
1200,25,3256,3256,100,1,0.109782,raider_walk0_nw,24,1,
1215,25,3256,3256,100,0.875,0.109782,raider_walk0_nw,24,1,
1230,25,3256,3256,100,0.765625,0.109782,raider_walk0_nw,24,1,
1245,25,3256,3256,100,0.669922,0.109782,raider_walk0_nw,24,1,
1260,26,3250,3250,100,1,0.19769,raider_walk1_nw,25,1,
1275,26,3250,3250,100,0.875,0.19769,raider_walk1_nw,25,1,
1290,26,3250,3250,100,0.765625,0.19769,raider_walk1_nw,25,1,
1305,27,3244,3244,100,1,0.285598,raider_walk2_nw,26,1,
1320,27,3244,3244,100,0.875,0.285598,raider_walk2_nw,26,1,
1335,27,3244,3244,100,0.765625,0.285598,raider_walk2_nw,26,1,
1350,28,3238,3238,100,1,0.373505,raider_walk2_nw,27,1,
1365,28,3238,3238,100,0.875,0.373505,raider_walk2_nw,27,1,
1380,28,3238,3238,100,0.765625,0.373505,raider_walk2_nw,27,1,
1395,28,3238,3238,100,0.669922,0.373505,raider_walk2_nw,27,1,
1410,29,3232,3232,100,1,0.461413,raider_walk3_nw,28,1,
1425,29,3232,3232,100,0.875,0.461413,raider_walk3_nw,28,1,
1440,29,3232,3232,100,0.765625,0.461413,raider_walk3_nw,28,1,
1455,30,3226,3226,100,1,0.54932,raider_walk4_nw,29,1,
1470,30,3226,3226,100,0.875,0.54932,raider_walk4_nw,29,1,
1485,30,3226,3226,100,0.765625,0.54932,raider_walk4_nw,29,1,
1500,31,3220,3220,100,1,0.637228,raider_walk5_nw,30,1,
1515,31,3220,3220,100,0.875,0.637228,raider_walk5_nw,30,1,
1530,31,3220,3220,100,0.765625,0.637228,raider_walk5_nw,30,1,
1545,31,3220,3220,100,0.669922,0.637228,raider_walk5_nw,30,1,
1560,32,3214,3214,100,1,0.725136,raider_walk5_nw,31,1,
1575,32,3214,3214,100,0.875,0.725136,raider_walk5_nw,31,1,
1590,32,3214,3214,100,0.765625,0.725136,raider_walk5_nw,31,1,
1605,33,3208,3208,100,1,0.813043,raider_walk6_nw,32,1,
1620,33,3208,3208,100,0.875,0.813043,raider_walk6_nw,32,1,
1635,33,3208,3208,100,0.765625,0.813043,raider_walk6_nw,32,1,
1650,34,3202,3202,100,1,0.900951,raider_walk7_nw,33,1,
1665,34,3202,3202,100,0.875,0.900951,raider_walk7_nw,33,1,
1680,34,3202,3202,100,0.765625,0.900951,raider_walk7_nw,33,1,
1695,34,3202,3202,100,0.669922,0.900951,raider_walk7_nw,33,1,
1710,35,3196,3196,100,1,0.988859,raider_walk7_nw,34,1,
1725,35,3196,3196,100,0.875,0.988859,raider_walk7_nw,34,1,
1740,35,3196,3196,100,0.765625,0.988859,raider_walk7_nw,34,1,
1755,36,3190,3190,100,1,0.0767661,raider_walk0_nw,35,1,
1770,36,3190,3190,100,0.875,0.0767661,raider_walk0_nw,35,1,
1785,36,3190,3190,100,0.765625,0.0767661,raider_walk0_nw,35,1,
1800,37,3184,3184,100,1,0.164674,raider_walk1_nw,36,1,
1815,37,3184,3184,100,0.875,0.164674,raider_walk1_nw,36,1,
1830,37,3184,3184,100,0.765625,0.164674,raider_walk1_nw,36,1,
1845,37,3184,3184,100,0.669922,0.164674,raider_walk1_nw,36,1,
1860,38,3178,3178,100,1,0.252581,raider_walk2_nw,37,1,
1875,38,3178,3178,100,0.875,0.252581,raider_walk2_nw,37,1,
1890,38,3178,3178,100,0.765625,0.252581,raider_walk2_nw,37,1,
1905,39,3172,3172,100,1,0.340489,raider_walk2_nw,38,1,
1920,39,3172,3172,100,0.875,0.340489,raider_walk2_nw,38,1,
1935,39,3172,3172,100,0.765625,0.340489,raider_walk2_nw,38,1,
1950,40,3166,3166,100,1,0.428397,raider_walk3_nw,39,1,
1965,40,3166,3166,100,0.875,0.428397,raider_walk3_nw,39,1,
1980,40,3166,3166,100,0.765625,0.428397,raider_walk3_nw,39,1,
1995,40,3166,3166,100,0.669922,0.428397,raider_walk3_nw,39,1,
2010,41,3160,3160,100,1,0.516304,raider_walk4_nw,40,1,
2025,41,3160,3160,100,0.875,0.516304,raider_walk4_nw,40,1,
2040,41,3160,3160,100,0.765625,0.516304,raider_walk4_nw,40,1,
2055,42,3154,3154,100,1,0.604212,raider_walk4_nw,41,1,
2070,42,3154,3154,100,0.875,0.604212,raider_walk4_nw,41,1,
2085,42,3154,3154,100,0.765625,0.604212,raider_walk4_nw,41,1,
2100,43,3148,3148,100,1,0.692119,raider_walk5_nw,42,1,
2115,43,3148,3148,100,0.875,0.692119,raider_walk5_nw,42,1,
2130,43,3148,3148,100,0.765625,0.692119,raider_walk5_nw,42,1,
2145,43,3148,3148,100,0.669922,0.692119,raider_walk5_nw,42,1,
2160,44,3142,3142,100,1,0.780027,raider_walk6_nw,43,1,
2175,44,3142,3142,100,0.875,0.780027,raider_walk6_nw,43,1,
2190,44,3142,3142,100,0.765625,0.780027,raider_walk6_nw,43,1,
2205,45,3136,3136,100,1,0.867935,raider_walk6_nw,44,1,
2220,45,3136,3136,100,0.875,0.867935,raider_walk6_nw,44,1,
2235,45,3136,3136,100,0.765625,0.867935,raider_walk6_nw,44,1,
2250,46,3130,3130,100,1,0.955842,raider_walk7_nw,45,1,
2265,46,3130,3130,100,0.875,0.955842,raider_walk7_nw,45,1,
2280,46,3130,3130,100,0.765625,0.955842,raider_walk7_nw,45,1,
2295,46,3130,3130,100,0.669922,0.955842,raider_walk7_nw,45,1,
2310,47,3124,3124,100,1,0.0437497,raider_walk0_nw,46,1,
2325,47,3124,3124,100,0.875,0.0437497,raider_walk0_nw,46,1,
2340,47,3124,3124,100,0.765625,0.0437497,raider_walk0_nw,46,1,
2355,48,3118,3118,100,1,0.131657,raider_walk1_nw,47,1,
2370,48,3118,3118,100,0.875,0.131657,raider_walk1_nw,47,1,
2385,48,3118,3118,100,0.765625,0.131657,raider_walk1_nw,47,1,
2400,49,3112,3112,100,1,0.219565,raider_walk1_nw,48,1,
2415,49,3112,3112,100,0.875,0.219565,raider_walk1_nw,48,1,
2430,49,3112,3112,100,0.765625,0.219565,raider_walk1_nw,48,1,
2445,49,3112,3112,100,0.669922,0.219565,raider_walk1_nw,48,1,
2460,50,3106,3106,100,1,0.307473,raider_walk2_nw,49,1,
2475,50,3106,3106,100,0.875,0.307473,raider_walk2_nw,49,1,
2490,50,3106,3106,100,0.765625,0.307473,raider_walk2_nw,49,1,
2505,51,3100,3100,100,1,0.39538,raider_walk3_nw,50,1,
2520,51,3100,3100,100,0.875,0.39538,raider_walk3_nw,50,1,
2535,51,3100,3100,100,0.765625,0.39538,raider_walk3_nw,50,1,
2550,52,3094,3094,100,1,0.483288,raider_walk3_nw,51,1,
2565,52,3094,3094,100,0.875,0.483288,raider_walk3_nw,51,1,
2580,52,3094,3094,100,0.765625,0.483288,raider_walk3_nw,51,1,
2595,52,3094,3094,100,0.669922,0.483288,raider_walk3_nw,51,1,
2610,53,3088,3088,100,1,0.571195,raider_walk4_nw,52,1,
2625,53,3088,3088,100,0.875,0.571195,raider_walk4_nw,52,1,
2640,53,3088,3088,100,0.765625,0.571195,raider_walk4_nw,52,1,
2655,54,3082,3082,100,1,0.659103,raider_walk5_nw,53,1,
2670,54,3082,3082,100,0.875,0.659103,raider_walk5_nw,53,1,
2685,54,3082,3082,100,0.765625,0.659103,raider_walk5_nw,53,1,
2700,55,3076,3076,100,1,0.747011,raider_walk5_nw,54,1,
2715,55,3076,3076,100,0.875,0.747011,raider_walk5_nw,54,1,
2730,55,3076,3076,100,0.765625,0.747011,raider_walk5_nw,54,1,
2745,55,3076,3076,100,0.669922,0.747011,raider_walk5_nw,54,1,
2760,56,3072,3072,100,1,0.805616,raider_walk6_nw,55,1,
2775,56,3072,3072,100,0.875,0.805616,raider_walk6_nw,55,1,
2790,56,3072,3072,100,0.765625,0.805616,raider_walk6_nw,55,1,
2805,57,3071,3072,100,1,0.815976,raider_walk6_sw,56,1,
2820,57,3071,3072,100,0.875,0.815976,raider_walk6_sw,56,1,
2835,57,3071,3072,100,0.765625,0.815976,raider_walk6_sw,56,1,
2850,58,3071,3072,89,0.669922,0.815976,raider_attack_nw,56,1,native-pursuit-nw-contact.png
2865,58,3071,3072,89,0.586182,0.815976,raider_attack_nw,56,1,
2880,58,3071,3072,89,0.512909,0.815976,raider_attack_nw,56,1,
2895,58,3071,3072,89,0.448795,0.815976,raider_attack_nw,56,1,
2910,59,3071,3072,89,0.392696,0.815976,raider_attack_nw,56,1,
2925,59,3071,3072,89,0.343609,0.815976,raider_attack_nw,56,1,
2940,59,3071,3072,89,0.300658,0.815976,raider_attack_nw,56,1,
2955,60,3071,3072,89,0.263076,0.815976,raider_walk6_nw,56,1,
2970,60,3071,3072,89,0.230191,0.815976,raider_walk6_nw,56,1,
2985,60,3071,3072,89,0.201417,0.815976,raider_walk6_nw,56,1,
3000,61,3071,3072,89,0.17624,0.815976,raider_nw,56,1,
3015,61,3071,3072,89,0.15421,0.815976,raider_nw,56,1,
3030,61,3071,3072,89,0.134934,0.815976,raider_nw,56,1,
3045,61,3071,3072,89,0.118067,0.815976,raider_nw,56,1,
3060,62,3071,3072,89,0.103309,0.815976,raider_nw,56,1,
3075,62,3071,3072,89,0.0903951,0.815976,raider_nw,56,1,
3090,62,3071,3072,89,0.0790957,0.815976,raider_nw,56,1,
3105,63,3071,3072,78,0.0692088,0.815976,raider_attack_nw,56,1,
3120,63,3071,3072,78,0.0605577,0.815976,raider_attack_nw,56,1,
3135,63,3071,3072,78,0.052988,0.815976,raider_attack_nw,56,1,
3150,64,3071,3072,78,0.0463645,0.815976,raider_attack_nw,56,1,
3165,64,3071,3072,78,0.0405689,0.815976,raider_attack_nw,56,1,
3180,64,3071,3072,78,0.0354978,0.815976,raider_attack_nw,56,1,
3195,64,3071,3072,78,0.0310606,0.815976,raider_attack_nw,56,1,
3210,65,3071,3072,78,0.027178,0.815976,raider_nw,56,1,
3225,65,3071,3072,78,0.0237807,0.815976,raider_nw,56,1,
3240,65,3071,3072,78,0.0208082,0.815976,raider_nw,56,1,
3255,66,3071,3072,78,0.0182071,0.815976,raider_nw,56,1,
3270,66,3071,3072,78,0.0159312,0.815976,raider_nw,56,1,
3285,66,3071,3072,78,0.0139398,0.815976,raider_nw,56,1,
3300,67,3071,3072,78,0.0121974,0.815976,raider_nw,56,1,
3315,67,3071,3072,78,0.0106727,0.815976,raider_nw,56,1,
3330,67,3071,3072,78,0.0093386,0.815976,raider_nw,56,1,
3345,67,3071,3072,78,0.00817128,0.815976,raider_nw,56,1,
3360,68,3071,3072,67,0.00714987,0.815976,raider_attack_nw,56,1,
3375,68,3071,3072,67,0.00625613,0.815976,raider_attack_nw,56,1,
3390,68,3071,3072,67,0.00547412,0.815976,raider_attack_nw,56,1,
3405,69,3071,3072,67,0.00478985,0.815976,raider_attack_nw,56,1,
3420,69,3071,3072,67,0.00419112,0.815976,raider_attack_nw,56,1,
3435,69,3071,3072,67,0.00366723,0.815976,raider_attack_nw,56,1,
3450,70,3071,3072,67,0.00320883,0.815976,raider_nw,56,1,
